,x1,x2,label
0,1.4937945393675114,-0.8632519201556693,0
1,-0.27998900927580783,-1.4234584006416335,0
2,-0.9477454610876224,-2.3474081665409168,0
3,-1.0036324318858723,1.1086703930851063,0
4,0.0448253420156417,-0.1596052405885413,0
5,-3.7338666941691865,-1.4633446403797705,0
6,-1.0712365001638395,-1.2746923923761355,0
7,-1.1561112106065208,-1.9078539333391151,0
8,-3.216193912298174,-1.9393829038850563,0
9,-1.523188061202589,-0.6589118749946785,0
10,1.0642960690191274,-0.474459856082321,0
11,-0.9902606838308042,-2.4056646123847556,0
12,-0.7599367406448968,-0.11768212040196391,0
13,-0.1678897220291533,-3.19409530824975,0
14,-0.4983231865930101,-0.9966152890019001,0
15,-0.5804417985711896,-1.1111832210645196,0
16,-0.24530656723516553,-1.6822280077988192,0
17,1.7997294954160612,-0.7657263027752311,0
18,-0.28833574471132817,-0.37210939812434163,0
19,-1.0268857443981536,-1.2894338270571544,0
20,-2.8676647869143865,-1.523830081878082,0
21,-0.06445689177788838,0.5086344358049757,0
22,-2.6539758084161367,-0.11260832719042158,0
23,-0.2461443899491168,-2.124684246374995,0
24,1.6064345994413007,-1.3821415164163513,0
25,-1.6404244291109937,-1.7454307798008395,0
26,-1.5947428083882336,-0.6088264239308577,0
27,-1.4236591304992392,-0.23442950134189733,0
28,-1.6482017674466065,-0.32754124288269726,0
29,-0.6763457671575769,-1.197172891957436,0
30,-0.9050966334463479,-1.415553468405388,0
31,-0.22759524726868186,-0.3990951661128349,0
32,-0.6531826704443955,-1.7163361657106186,0
33,-1.2246995228448825,0.36959191538710034,0
34,-1.0595869219519096,-1.8831601382873444,0
35,-1.3521270076301004,-1.6396371691607405,0
36,-0.8094777918568812,-0.23093841094733503,0
37,-1.4803181353423323,-0.10463143537766395,0
38,-2.7139040850593985,-0.2265598093554887,0
39,-1.8648911656935674,0.1745290986598267,0
40,-0.5167436374370565,-0.4948725857737938,0
41,-0.5808234481837786,-1.6491053797818025,0
42,-1.3924306904305075,-0.6563109661686757,0
43,-2.1166869262176213,-0.3791998404840672,0
