,false_positives,false_negatives,true_positives,gamma
0,6000.0,0.0,4000.0,0.001
1,6000.0,0.0,4000.0,0.0010280732238308647
2,6000.0,0.0,4000.0,0.0010569345535579883
3,6000.0,0.0,4000.0,0.001086606113854597
4,6000.0,0.0,4000.0,0.0011171106505048242
5,6000.0,0.0,4000.0,0.001148471547840289
6,6000.0,0.0,4000.0,0.0011807128466661903
7,5999.0,0.0,4000.0,0.0012138592626906278
8,5999.0,0.0,4000.0,0.0012479362054713115
9,5999.0,0.0,4000.0,0.0012829697978941476
10,5999.0,0.0,4000.0,0.0013189868961986705
11,5999.0,0.0,4000.0,0.0013560151105656334
12,5999.0,0.0,4000.0,0.0013940828262825786
13,5999.0,0.0,4000.0,0.0014332192255035738
14,5999.0,0.0,4000.0,0.0014734543096198358
15,5999.0,0.0,4000.0,0.0015148189222583457
16,5999.0,0.0,4000.0,0.0015573447729261352
17,5999.0,0.0,4000.0,0.0016010644613183177
18,5999.0,0.0,4000.0,0.0016460115023085497
19,5999.0,0.0,4000.0,0.0016922203516410374
20,5999.0,0.0,4000.0,0.0017397264323438008
21,5999.0,0.0,4000.0,0.0017885661618834618
22,5999.0,0.0,4000.0,0.0018387769800823268
23,5999.0,0.0,4000.0,0.0018903973778192215
24,5999.0,0.0,4000.0,0.0019434669265360202
25,5999.0,0.0,4000.0,0.0019980263085725507
26,5999.0,0.0,4000.0,0.002054117348353064
27,5999.0,0.0,4000.0,0.0021117830444482445
28,5999.0,0.0,4000.0,0.002171067602537265
29,5999.0,0.0,4000.0,0.0022320164692952345
30,5999.0,0.0,4000.0,0.002294676367231936
31,5999.0,0.0,4000.0,0.0023590953305086364
32,5999.0,0.0,4000.0,0.002425322741760353
33,5998.0,0.0,4000.0,0.0024934093699518806
34,5998.0,0.0,4000.0,0.002563407409296515
35,5997.0,0.0,4000.0,0.002635370519267393
36,5997.0,0.0,4000.0,0.0027093538657320514
37,5997.0,0.0,4000.0,0.002785414163241769
38,5997.0,0.0,4000.0,0.002863609718508116
39,5997.0,0.0,4000.0,0.0029440004751000335
40,5997.0,0.0,4000.0,0.003026648059395692
41,5997.0,0.0,4000.0,0.0031116158278243597
42,5997.0,0.0,4000.0,0.0031989689154345376
43,5997.0,0.0,4000.0,0.00328877428582551
44,5997.0,0.0,4000.0,0.0033811007824806854
45,5996.0,0.0,4000.0,0.0034760191815419775
46,5996.0,0.0,4000.0,0.0035736022460657883
47,5996.0,0.0,4000.0,0.0036739247818020743
48,5996.0,0.0,4000.0,0.0037770636945393685
49,5995.0,0.0,4000.0,0.003883098049059605
50,5995.0,0.0,4000.0,0.003992109129748053
51,5995.0,0.0,4000.0,0.004104180502904709
52,5995.0,0.0,4000.0,0.004219398080805024
53,5995.0,0.0,4000.0,0.004337850187558989
54,5995.0,0.0,4000.0,0.004459627626819096
55,5994.0,0.0,4000.0,0.004584823751389096
56,5994.0,0.0,4000.0,0.004713534534786907
57,5994.0,0.0,4000.0,0.004845858644816496
58,5994.0,0.0,4000.0,0.004981897519205165
59,5992.0,0.0,4000.0,0.0051217554433642416
60,5991.0,0.0,4000.0,0.005265539630332755
61,5990.0,0.0,4000.0,0.005413360302965381
62,5990.0,0.0,4000.0,0.005565330778427646
63,5987.0,0.0,4000.0,0.005721567555063252
64,5987.0,0.0,4000.0,0.005882190401699956
65,5986.0,0.0,4000.0,0.006047322449462649
66,5985.0,0.0,4000.0,0.006217090286163827
67,5984.0,0.0,4000.0,0.006391624053344006
68,5982.0,0.0,4000.0,0.006571057546036271
69,5982.0,0.0,4000.0,0.0067555283153316395
70,5979.0,0.0,4000.0,0.006945177773823696
71,5979.0,0.0,4000.0,0.007140151304013403
72,5979.0,0.0,4000.0,0.007340598369757212
73,5979.0,0.0,4000.0,0.007546672630843887
74,5977.0,0.0,4000.0,0.007758532060787836
75,5975.0,0.0,4000.0,0.007976339067929281
76,5973.0,0.0,4000.0,0.008200260619934131
77,5972.0,0.0,4000.0,0.008430468371788968
78,5972.0,0.0,4000.0,0.008667138797389234
79,5972.0,0.0,4000.0,0.008910453324821512
80,5971.0,0.0,4000.0,0.00916059847544371
81,5968.0,0.0,4000.0,0.009417766006869518
82,5967.0,0.0,4000.0,0.009682153059967086
83,5965.0,0.0,4000.0,0.009953962309984233
84,5960.0,0.0,4000.0,0.010233402121916417
85,5958.0,0.0,4000.0,0.010520686710236229
86,5956.0,0.0,4000.0,0.0108160363031071
87,5953.0,0.0,4000.0,0.011119677311206989
88,5950.0,0.0,4000.0,0.011431842501291497
89,5950.0,0.0,4000.0,0.011752771174629452
90,5944.0,0.0,4000.0,0.012082709350447765
91,5943.0,0.0,4000.0,0.012421909954526173
92,5942.0,0.0,4000.0,0.01277063301308644
93,5942.0,0.0,4000.0,0.013129145852124654
94,5941.0,0.0,4000.0,0.013497723302339424
95,5939.0,0.0,4000.0,0.013876647909813085
96,5936.0,0.0,4000.0,0.014266210152607376
97,5934.0,0.0,4000.0,0.014666708663439686
98,5932.0,0.0,4000.0,0.015078450458610518
99,5927.0,0.0,4000.0,0.015501751173357704
100,5922.0,0.0,4000.0,0.01593693530381775
101,5918.0,0.0,4000.0,0.01638433645577984
102,5914.0,0.0,4000.0,0.016844297600423153
103,5911.0,0.0,4000.0,0.017317171337233535
104,5908.0,0.0,4000.0,0.01780332016430114
105,5905.0,0.0,4000.0,0.01830311675620612
106,5904.0,0.0,4000.0,0.018816944249705557
107,5902.0,0.0,4000.0,0.019345196537440452
108,5898.0,0.0,4000.0,0.019888278569888097
109,5896.0,0.0,4000.0,0.020446606665791168
110,5890.0,0.0,4000.0,0.021020608831301583
111,5881.0,0.0,4000.0,0.021610725088083777
112,5878.0,1.0,3999.0,0.022217407810628847
113,5873.0,2.0,3998.0,0.022841122073038244
114,5866.0,2.0,3998.0,0.023482346005542765
115,5859.0,2.0,3998.0,0.02414157116103019
116,5855.0,2.0,3998.0,0.024819302891862554
117,5851.0,2.0,3998.0,0.02551606073727185
118,5845.0,2.0,3998.0,0.026232378821631236
119,5833.0,2.0,3998.0,0.026968806263906926
120,5825.0,2.0,3998.0,0.027725907598604826
121,5822.0,2.0,3998.0,0.028504263208534348
122,5814.0,2.0,3998.0,0.02930446976972143
123,5807.0,2.0,3998.0,0.03012714070881164
124,5797.0,2.0,3998.0,0.030972906673314083
125,5788.0,2.0,3998.0,0.03184241601504653
126,5779.0,2.0,3998.0,0.03273633528715246
127,5766.0,3.0,3997.0,0.033655349755070944
128,5755.0,3.0,3997.0,0.034600163921851106
129,5748.0,3.0,3997.0,0.03557150206821386
130,5738.0,3.0,3997.0,0.03657010880777491
131,5729.0,3.0,3997.0,0.03759674965785468
132,5713.0,4.0,3996.0,0.03865221162631264
133,5703.0,4.0,3996.0,0.03973730381485608
134,5693.0,4.0,3996.0,0.040852858039285636
135,5682.0,4.0,3996.0,0.04199972946715306
136,5670.0,4.0,3996.0,0.04317879727332024
137,5660.0,4.0,3996.0,0.04439096531392171
138,5645.0,4.0,3996.0,0.04563716281924759
139,5627.0,5.0,3995.0,0.046918345106077966
140,5619.0,5.0,3995.0,0.04823549431001467
141,5607.0,5.0,3995.0,0.04958962013837214
142,5589.0,5.0,3995.0,0.050981760644204246
143,5577.0,5.0,3995.0,0.05241298302206059
144,5562.0,6.0,3994.0,0.05388438442608224
145,5552.0,7.0,3993.0,0.05539709281106403
146,5537.0,8.0,3992.0,0.056952267797128246
147,5516.0,9.0,3991.0,0.05855110155867241
148,5501.0,10.0,3990.0,0.060194819738272745
149,5479.0,12.0,3988.0,0.06188468238624386
150,5464.0,13.0,3987.0,0.06362198492657489
151,5447.0,14.0,3986.0,0.06540805914998256
152,5435.0,14.0,3986.0,0.0672442742348425
153,5420.0,16.0,3984.0,0.06913203779678131
154,5401.0,16.0,3984.0,0.07107279696773419
155,5384.0,17.0,3983.0,0.07306803950529503
156,5363.0,19.0,3981.0,0.07511929493320965
157,5344.0,19.0,3981.0,0.07722813571388643
158,5324.0,20.0,3980.0,0.0793961784538228
159,5303.0,22.0,3978.0,0.08162508514287228
160,5282.0,24.0,3976.0,0.08391656442830157
161,5255.0,27.0,3973.0,0.08627237292461451
162,5229.0,28.0,3972.0,0.08869431656014709
163,5206.0,31.0,3969.0,0.09118425196146572
164,5182.0,33.0,3967.0,0.09374408787662995
165,5161.0,33.0,3967.0,0.09637578663841088
166,5134.0,33.0,3967.0,0.0990813656685867
167,5103.0,34.0,3966.0,0.10186289902446875
168,5076.0,38.0,3962.0,0.10472251898884344
169,5047.0,41.0,3959.0,0.10766241770454933
170,5019.0,42.0,3958.0,0.1106848488549412
171,4995.0,47.0,3953.0,0.11379212939153151
172,4969.0,47.0,3953.0,0.11698664131013069
173,4941.0,49.0,3951.0,0.1202708334768512
174,4923.0,50.0,3950.0,0.12364722350537151
175,4898.0,51.0,3949.0,0.1271183996869029
176,4867.0,55.0,3945.0,0.13068702297433463
177,4846.0,58.0,3942.0,0.13435582902208262
178,4814.0,63.0,3937.0,0.13812763028320094
179,4786.0,65.0,3935.0,0.14200531816536832
180,4757.0,67.0,3933.0,0.14599186524739785
181,4715.0,68.0,3932.0,0.15009032755797366
